ID,ARTX,EGUNA,TST.PRRAT,EZEZKOA,ARG.ORO,ARG.ABS,ARG.DAT,ARG.ERG,ARG.Q,AD.NG,AD.NG.Q.ASP,AD.NG.Q_OIN,AD.NG.Q_BUR,AD.NG.Q_GER,AD.NG.Q_BGB,AD.NG.aurrekoan,EZ.aurrekoan,AD.JK,AD.TRINKOA,AD.LAGUNTZAILEA,BRB.Q,MEN,FORM.AMAIERA,ERR,ERR.Q,ERR.Q_2,ERR.Q_3,ERR.Q_4,ERR.Q_5,META,ZA.LUZ0,ZA.LUZ1,ZA.LUZ2,ZA.SIL0,ZA.SIL1,ZA.SIL2,ZA.ZAT0,ZA.ZAT1,ZA.ZAT2,ZA.ERP1,ZA.ERP1,ZA.ERP2,ZA.BRF0,ZA.BRF1,ZA.BRF2,TST.SIL,TST.BRB,TST.GRBI,AD.JK.ARG.FTU.Q_NR,AD.JK.ARG.FTU.Q_NRI,AD.JK.ARG.FTU.Q_NRK,AD.JK.ARG.FTU.ZMT,AD.JK.ARG.ZMT,AD.JK.DST.BRB.ARG.NR,AD.JK.DST.BRB.ARG.NRI,AD.JK.DST.BRB.ARG.NRK,AD.JK.DST.SL.ARG.NR,AD.JK.DST.SL.ARG.NRI,AD.JK.DST.SL.ARG.NRK,AD.JK.DST.DNB.ARG.NR,AD.JK.DST.DNB.ARG.NRI,AD.JK.DST.DNB.ARG.NRK,AD.JK.ZERR,AD.JK.AURREKO.ETENA,AD.JK.AURREKO.ETENA.DENB,AD.JK.MRF.B.EKO,AD.JK.MRF.B.ZUZ,AD.JK.MRF.B.OIN,AD.JK.BLS.Q,ADITZ.KONFIGURAZIOA.Q,ADITZ.KONFIGURAZIOA.INAKUSATIBOA,ADITZ.KONFIGURAZIOA.INERGATIBOA,ADITZ.KONFIGURAZIOA.DATIBODUNA,ADITZ.KONFIGURAZIOA.IRAGANKORRA,ADITZ.PARADIGMA.Q,ADITZ.PARADIGMA.NOR,ADITZ.PARADIGMA.NORNORI,ADITZ.PARADIGMA.NORNORK,ADITZ.PARADIGMA.NORNORINORK,KOMZ.NOR.Q,KOMZ.NORI.Q,KOMZ.NORK.Q,FNTZ.SUBJEKTUA.Q,FNTZ.ZEHAR.OSAGARRIA.Q,FNTZ.OSAGARRI.ZUZENA.Q,MODUA.Q,MODUA.INDIKATIBOA,MODUA.AHALEZKOA,MODUA.MENTURAZKOA,ALDIA.Q,ALDIA.ORAINA,ALDIA.IRAGANA,ALDIA.ALEGIA,ADITZ.ERROREA.DESKRP,ERROREA.MENPERATZAILEAN.EZ.ADITZEAN,ERROREA.MENPEKO.ADITZEAN,KONPLEXUTASUNA.V1,KONPLEXUTASUNA.V2,EZEZKOESALDIA,HURRENGOA.AD.JK,HURRENGOA.AD.TRINKOA,HURRENGOA.AD.LAGUNTZAILEA,ALDAKETAK
21,121017_011_gaia,1,@æ liserkeri as_ko:,0,1,1,0,0,ABS,0,NA,0,0,0,0,1,0,0,0,0,ARG,0,0,0,NA,0,0,0,0,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,liserkeri asko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,
22,121017_011_gaia,1,jatea *4  %,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,beste,0,0,1,aleg.haut,0,0,1,0,NA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,jatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,
23,121017_011_gaia,1,! jaten %|,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,beste,0,1,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,jaten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,
24,121017_011_gaia,1,baina:,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,beste,0,0,0,NA,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,baina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,
25,121017_011_gaia,1,{ @æ futbola,0,1,1,0,0,ABS,0,NA,0,0,0,0,0,0,0,0,0,ARG,1,0,0,NA,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,futbola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,
26,121017_011_gaia,1,$0 utzi,0,0,0,0,0,NA,1,burutua,0,1,0,0,0,0,0,0,0,AD.ng,1,0,0,NA,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,utzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,
27,121017_011_gaia,1,¡ nuenean},0,0,0,0,0,NA,0,NA,0,0,0,0,1,0,1,0,1,AD.lag,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,nuenean,1,NA,0,1,2,2,NA,NA,2,NA,NA,1.025,NA,NA,0,0,0,nuenean,NUENEAN,NUEN,PERIFRASTIKOA,IRAGANKORRA,0,0,1,0,NOR-NORK,0,0,1,0,HURA,NA,NIK,1S,NA,3S,INDIKATIBOA,1,0,0,IRAGANALDIA,0,1,0,NA,NA,NA,3,NA,0,0,0,0,
28,121017_011_gaia,1,$0 loditu:,0,0,0,0,0,NA,1,burutua,0,1,0,0,0,0,0,0,0,AD.ng,0,0,0,NA,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,loditu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,
29,121017_011_gaia,1,¡ nuen *4 %,0,0,0,0,0,NA,0,NA,0,0,0,0,1,0,1,0,1,AD.lag,0,0,1,aleg.haut,0,0,1,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,nuen,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,nuen,NINTZEN,NINTZEN,PERIFRASTIKOA,INAKUSATIBOA,1,0,0,0,NOR,1,0,0,0,NI,NA,NA,1S,NA,NA,INDIKATIBOA,1,0,0,IRAGANALDIA,0,1,0,NUEN aleg.haut NINTZEN,NA,NA,2,NA,0,0,0,0,
30,121017_011_gaia,1,ez gehiegi baina: bueno,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,beste,0,0,0,NA,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,ez gehiegi baina bueno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,
